Date: 2025-06-16 14:29:01 | Username: None | Creature: Fox | Score: 3.2 | Kills: 0
Date: 2025-06-18 09:03:19 | Username: None | Creature: Cheetah | Score: 4.9 | Kills: 0
Date: 2025-06-18 09:03:53 | Username: None | Creature: Hyena | Score: 2.6 | Kills: 0
Date: 2025-06-17 13:21:34 | Username: None | Creature: Hyena | Score: 5.6 | Kills: 0
Date: 2025-06-17 13:22:07 | Username: None | Creature: Lion | Score: 14.4 | Kills: 1
Date: 2025-06-19 10:05:17 | Username: None | Creature: Wolf | Score: 4.0 | Kills: 0
Date: 2025-06-19 11:43:15 | Username: None | Creature: Cheetah | Score: 7.1 | Kills: 0
Date: 2025-06-24 09:44:15 | Username: None | Creature: Hyena | Score: 5.7 | Kills: 0
Date: 2025-06-24 10:08:21 | Username: None | Creature: Tiger | Score: 5.5 | Kills: 1
Date: 2025-06-24 10:12:25 | Username: None | Creature: Fox | Score: 3.9 | Kills: 0
Date: 2025-06-24 10:14:13 | Username: None | Creature: Lion | Score: 9.8 | Kills: 0
Date: 2025-06-25 09:13:09 | Username: None | Creature: Tiger | Score: 3.4 | Kills: 0
